122,37994,GroupCuisine,268562400,How I Met Your Mother Trivia Night (It's gonna be LEGEN - Wait For It - DARY!),31,1581183288000,2020,03,05,18,Thursday,1583451000000,1583461932000,0_0,0,how to find us,https://www.meetup.com/NewYorkIsMyOyster/events/268562400/
127,37994,GroupCuisine,nbljqrybcfblb,**thelovemaze.com Speed Dating Party Online** Offline Party,6,1583533483000,2020,03,08,19,Sunday,1583708400000,1583717258000,0_0,0,Details upon RSVP in LoveMaze,https://www.meetup.com/NewYorkIsMyOyster/events/269242439/
163,37994,GroupCuisine,269131690,Network After Work New York City Virtual Networking,5,1583160609000,2020,03,25,18,Wednesday,1585173600000,1585182547000,0_0,0,how to find us,https://www.meetup.com/NewYorkIsMyOyster/events/269131690/
196,37994,GroupCuisine,270027466,"Singles Online Fun & Games Night: Party From Home! (30s, 40s, 50s)",26,1586799313000,2020,04,15,19,Wednesday,1586991600000,1587001396000,0_0,0,how to find us,https://www.meetup.com/NewYorkIsMyOyster/events/270027466/
585,12542,nyc-astrology,268717706,The Astrology of Sex,59,1581716967000,2020,03,12,19,Thursday,1584054000000,1584065087000,0_0,0,how to find us,https://www.meetup.com/nyc-astrology/events/268717706/
586,12542,nyc-astrology,270167426,Online: Ask An Astrologer: General Q & A,53,1587420490000,2020,04,23,19,Thursday,1587682800000,1587693868000,0_0,0,https://zoom.us/j/98892009215,https://www.meetup.com/nyc-astrology/events/270167426/
597,45494,nycphotography,269087488,No Cover Networking and Fashion Show (Cameras Welcome),7,1582991566000,2020,03,05,18,Thursday,1583451000000,1583465503000,0_0,0,how to find us,https://www.meetup.com/nycphotography/events/269087488/
615,142292,Westchester-Singles,268661111,~~SATURDAY NIGHT * MINGLE * KARAOKE * DANCE PARTY @ HIDA ~~,61,1581534856000,2020,02,29,20,Saturday,1583026200000,1583036209000,0_0,5,"When you enter the restaurant, go to the right into the Bar area.",https://www.meetup.com/Westchester-Singles/events/268661111/
616,142292,Westchester-Singles,268668193,SIP and SALSA !,12,1581554475000,2020,03,13,19,Friday,1584142200000,1584149801000,0_0,20,how to find us,https://www.meetup.com/Westchester-Singles/events/268668193/
625,29074,NYCCanadians,269624080,Reach out and don't touch someone,8,1585063229000,2020,04,03,19,Friday,1585954800000,1585964337000,0_0,0,https://hangouts.google.com/,https://www.meetup.com/NYCCanadians/events/269624080/
681,160956,nyceatup,hdktlrybcfbsb,Lunch Bunch REbooted: Renegades of Sunset (aka Pickle Shack 3.0),8,1575579574000,2020,03,14,12,Saturday,1584201600000,1584211955000,0_0,0,how to find us,https://www.meetup.com/nyceatup/events/267667555/
696,161249,vegetarian-nyc,268569664,Vegan Dinner at Beyond Sushi - Mulberry Street,72,1581210198000,2020,03,04,18,Wednesday,1583362800000,1583375999000,0_0,0,how to find us,https://www.meetup.com/vegetarian-nyc/events/268569664/
697,161249,vegetarian-nyc,270124717,NYC Vegetarian & Vegan Meetup - Zoom Chat,29,1587226483000,2020,04,28,18,Tuesday,1588113000000,1588125307000,0_0,0,how to find us,https://www.meetup.com/vegetarian-nyc/events/270124717/
